Código IBGE,Município,UF,População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Cobertura Vacinal (Poliomielite),Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Áreas Verdes Urbanas,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua
1100015,Alta Floresta D'Oeste (RO),RO,22853,32373.4574760425,53.6030805394055,64.6128553978861,55.3457112158593,74.1328497444539,30.838882980398,55.8880468033652,51.8217129547533,39.879588205451,93.2565691064341,9.36477238276635,3.71231986399676,25.6435450204477,4.03990335992887,45.3125,60.86,54.0567023530362,94.4124740726784,88.0269356581618,96.7777117327137,66.75,7.88,68.83,94.0741,70.75,2.46491543720763,460.388232017098,1.44762635844833,74.4393784311901,51.82,33.7766990682345,0.305987168520103,4.31115463921842,4.88180415847903
1100023,Ariquemes (RO),RO,108573,29778.9713400201,55.9174671532921,67.4379374292695,60.8385264343406,72.1563559737134,50.3214311327056,70.2733058158607,52.8726914711672,48.4361601156048,87.1262489421742,15.7192888468707,4.46936892397364,47.3471989459221,5.94435613359092,72.2125,43.20625,90.7268954988841,90.7378004087606,90.3949536530855,96.4598015988833,86.16,25.72,89.76,94.3536,73.36,2.62576368126869,478.66733483323,2.35182243263191,9.91397560748918,49.41,60.7897380743969,0.296985466794995,3.52086822777359,19.0064773167909
1100031,Cabixi (RO),RO,5690,42206.047029877,52.1038447655131,59.1930192048426,50.0066313634038,66.8745209495816,40.3665368903008,38.1526891981061,45.0018523235846,38.7427698102397,94.8910690758517,32.6300085251492,3.98890428376757,41.9811571385553,17.8740574974818,39.87125,42.20375,66.7605453110039,80.4427341627603,92.5816888280363,98.6334191464049,47.72,0.27,64.19,54.5392363636364,70.39,2.82714054927302,361.434900138235,2.30244487832,39.2450009344048,56.05,61.3785517338282,0.279841463414634,5.11242619802349,0
1100049,Cacoal (RO),RO,97637,28808.4168491453,60.9468731590733,74.3507788488819,63.2901447035372,72.7879366330417,72.5910279609304,69.8406053626415,54.1577353596293,51.7080148436044,84.2513492119451,11.7208418932158,3.88021553455401,81.3274394273011,66.7326199467803,79.4125,51.07125,84.7007673340323,84.9809897445294,91.8661489904036,99.0199236353564,82.93,26.77,89.77,94.3023694444445,74.27,2.10411601978372,501.26203074455,5.0794050864203,5.86969281940912,51.33,42.4285380741616,0.274542230741584,2.33173952126129,17.4463979619259
1100056,Cerejeiras (RO),RO,16975,44091.9687835052,59.2402976173062,69.376478535014,60.5615460639145,77.47613738203,46.6811479791658,64.2597986954145,55.2959652617199,48.8436466924565,96.6763143919278,11.098999503099,3.75423445739303,39.6709018031327,21.1217393371466,60.8875,42.1275,89.2460885554679,97.8099686238916,98.3221149174959,99.0043083634957,89.1,3.82,89.85,94.6138722222222,72.94,2.46615087040619,368.913163166558,0.824206134229714,5.03461296412838,50.39,22.1146449754044,0.291743917274939,1.88801524795469,1.25390014987887
1100064,Colorado do Oeste (RO),RO,16588,25796.243736436,59.2071242925562,70.385971393425,61.5673225387598,77.4286569335202,59.4260907731751,60.9199849466616,57.529906473702,47.1734452579191,93.3233419009252,7.94028779420822,4.40090570419559,78.3254263363941,5.27367544686389,77.65375,61.48125,86.5790267006903,91.1637276301637,61.9830874411206,94.3652284265663,79.14,0.39,90.03,94.5637111111111,73.81,2.15412232337479,351.108319013991,5.61866803682466,0,52.46,51.4224627063637,0.276956055734191,6.68110948732682,24.8516902899989
1100072,Corumbiara (RO),RO,8001,49946.7709536308,54.7777700840902,65.974866341157,51.4106796117252,75.3147349297134,28.7892790084774,39.0052871323761,58.8443152221526,31.9947957832017,94.8031496062992,28.4372289764431,3.34331826651008,17.4751717088764,17.0053576611361,25.3275,32.975,47.3598338510547,93.6729229662489,70.1467050664715,95.8160323090206,39.26,0.73,41.26,83.6532208333333,71.45,2.0703933747412,315.083605419245,0.361050478401396,39.8989227290863,62.64,58.1157964580237,0.302867857142857,1.13351921385823,0
1100080,Costa Marques (RO),RO,13522,23589.9052137258,53.6247359193834,61.2821856239575,53.230691455535,72.3791255321259,25.5744449425922,49.6180706870714,57.4736556837452,35.5972408530438,86.7017974774735,18.8150432423849,4.01304267108242,15.5714442878616,62.4679878741393,18.33875,74.77375,59.2820321069507,91.0790736902899,93.2850076322364,92.8506489792903,51.38,11.82,44.55,98.2500565217391,70.04,2.45018450184502,390.432593143032,0.868781560046204,129.880414983765,52.41,44.089758280293,0.319768382352942,2.38287206462343,0.533191149026926
1100098,Espigão D'Oeste (RO),RO,32717,23811.0670691078,55.7078295476094,65.5088140384846,57.9573412665832,75.9807793867525,42.2216642042709,54.2851778236422,58.8944973121282,41.5533519396965,86.0882625139553,15.4072434045499,3.76838378404072,37.8154300126562,5.19328850912451,46.1,23.59125,71.4324243912479,84.8410211953264,62.3271616972427,96.4172786016353,69.76,13.16,61.59,84.4396129032258,74.15,2.52233981874644,372.575845903862,1.768576830647,76.1542122798667,52.9,39.3459279985888,0.306149393820884,4.80310196958873,7.96381892151461
1100106,Guajará-Mirim (RO),RO,43553,24381.2023672307,53.9500045511877,65.3134754922484,56.1833259420548,65.1253094815164,44.1504348510748,63.3074953515814,58.6633135870097,36.815013195002,66.6845990047861,20.5595826909786,4.06561459486315,33.2059647062446,74.1538280635062,41.91125,57.04875,75.9722517244357,87.651608793501,85.1067487705841,86.7485661107844,83.86,15.36,75.95,92.8286972222223,74.39,2.46394524566121,457.187568308495,1.08931378630537,165.536852260898,59.96,5.29510941959381,0.317450572155118,2.10681526075255,0.255689082076196
