ps,mun,per,prob_mean,ppt_out_mean,altitude_mean,ppt_ago_mean,Expectativa de Vida_mean,Necessidades Humanas Básicas_mean,tmed_out_mean,ppt_jun_mean,ppt_set_mean,tmed_set_mean,Famílias em Situação de Rua_mean
50,500345,2013-2025,0.7039013,245.5,345.11,81.34,73.60000000000001,81.0332736240314,23.23,76.87,127.52,21.740000000000002,4.036646779703672
32,320530,2013-2025,0.9428918,133.97,22.089999999999996,55.919999999999995,76.27999999999999,74.58869439696922,22.98,63.429999999999986,81.55999999999997,21.62,155.25102183341002
32,320150,2013-2025,0.92104346,141.43000000000004,190.25,42.980000000000004,75.45000000000002,74.19836705716878,22.71,29.0,66.53999999999999,21.37,119.983463234488
32,320520,2013-2025,0.90327716,131.73,15.849999999999998,54.39999999999999,76.84000000000002,77.3457896908436,22.94,61.38999999999999,80.46000000000001,21.57999999999999,90.92484047710852
32,320120,2013-2025,0.8765298,117.84999999999997,191.94000000000003,40.959999999999994,75.20000000000002,77.14937636846511,22.04,24.550000000000004,64.31999999999996,20.680000000000003,67.01704597102272
32,320500,2013-2025,0.8722474,136.98,44.519999999999996,57.80999999999998,75.65999999999998,77.28448628131049,22.96,57.13999999999999,80.69000000000003,21.6,57.01718834674701
32,320320,2013-2025,0.8667827,141.69000000000003,45.29,58.34000000000002,75.04999999999998,70.11022095615309,23.339999999999996,42.11000000000001,80.1,22.0,17.5274163694273
32,320240,2013-2025,0.86387455,128.49,188.46999999999997,51.62,75.21000000000001,77.2332990546506,21.930000000000003,52.12,77.23,20.550000000000004,75.9603153026437
32,320130,2013-2025,0.8399161,133.67000000000002,194.28000000000003,54.89999999999999,75.64,71.51487544649629,22.06,56.059999999999995,79.64,20.69,27.564879225269596
32,320060,2013-2025,0.8230429,140.04,40.559999999999995,59.26,75.26,76.36653060160849,23.17000000000001,46.5,79.63000000000001,21.819999999999997,37.671209607974
32,320420,2013-2025,0.81940734,118.42000000000002,19.650000000000002,43.05,76.11,75.62861447621502,22.79,40.52999999999999,71.08000000000001,21.430000000000003,57.1966907302916
32,320220,2013-2025,0.81584483,139.27,123.94000000000003,57.070000000000014,75.34000000000002,71.87881547738832,22.65,48.52999999999999,78.40999999999998,21.29,27.678880279756097
32,320280,2013-2025,0.8105592,111.49,31.44,36.97000000000001,73.5,75.20455997411548,22.699999999999996,33.980000000000004,66.87,21.339999999999996,7.559730809259531
32,320040,2013-2025,0.80225474,123.34999999999997,70.03999999999999,47.39999999999999,76.35000000000001,76.1868600036447,22.56,44.480000000000004,73.65999999999998,21.19,37.8806846346904
32,320080,2013-2025,0.80013853,137.23,340.86,32.730000000000004,73.65999999999998,77.0238720003108,21.949999999999996,21.740000000000002,59.019999999999996,20.6,76.99921726234837
32,320490,2013-2025,0.79973346,150.29,64.55999999999997,55.40999999999998,75.54999999999998,72.23896149037532,23.63,46.74,81.9,22.31,15.849645047837804
32,320313,2013-2025,0.7931939,141.0,242.11000000000007,52.99,76.41999999999999,82.7812806375207,22.180000000000003,38.14999999999999,74.34000000000002,20.819999999999997,18.166442495304803
32,320332,2013-2025,0.78246087,108.48,22.339999999999996,31.980000000000004,75.79999999999998,78.07224602643649,22.63,39.540000000000006,67.27999999999999,21.270000000000003,46.38421933796461
32,320360,2013-2025,0.7751484,155.23,236.98,48.88999999999999,74.70000000000002,75.67049660997542,23.290000000000003,46.24,65.23,22.009999999999998,2.5668933464772605
32,320510,2013-2025,0.7698304,131.86999999999995,160.97,53.77999999999999,73.94000000000003,77.25000240357961,22.199999999999996,53.28999999999999,78.45000000000002,20.82999999999999,17.450867507932692
32,320335,2013-2025,0.7538575,142.48,165.15000000000003,47.20000000000001,74.35000000000001,79.33695079165702,22.82999999999999,31.480000000000004,69.81999999999996,21.490000000000002,31.729276288185492
