cod6,prob,ppt_out,altitude,ppt_ago,Expectativa de Vida,Necessidades Humanas Básicas,tmed_out,ppt_jun,ppt_set,tmed_set,Famílias em Situação de Rua,tmed_nov,Domicílios com Coleta de Resíduos Adequada,Índice de Progresso Social,População 2022,Abastecimento de Água via Rede de Distribuição,Áreas Verdes Urbanas,Densidade de Telefonia Móvel,Mortalidade Infantil até 5 Anos,Densidade de Internet Banda Larga Fixa,tmed_ago,Índice de Abastecimento de Água,Esgotamento Sanitário Adequado,Nutrição e Cuidados Médicos Básicos,ppt_abr,Acesso à Informação e Comunicação,Focos de Calor,Água e Saneamento,tmed,PIB per capita 2021,Código IBGE,Mortalidade entre 15 e 50 anos,Fundamentos do Bem-estar,ppt_dez,tmed_jul,Cobertura Vacinal (Poliomielite),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Índice de Perdas de Água na Distribuição,ppt_fev,ppt_jan,Supressão da Vegetação Primária e Secundária,tmed_jun,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Qualidade de Internet Móvel,tmed_mar,Cobertura de Internet Móvel (4G/5G),ppt_nov,tmed_fev,tmed_jan,clu
110011,0.6779072,238.3,209.76000000000002,47.68,74.51,67.2080606100476,27.32,44.190000000000005,149.18,26.23,5.30636389687585,27.259999999999998,81.8782774952509,57.02876515697939,55583.0,38.0758427953373,2.21115634308092,89.9,12.030441009738698,7.09,25.21,48.23125,1.3561507138201203,74.443961621785,206.23999999999998,62.33063127702461,1.77897254452373,36.634355508496,25.779999999999998,31987.732754619203,1100114.0,2.30227322245624,61.1483338781536,275.62,23.63,87.96560521993459,0.290522868217055,83.8346744232455,91.61112112194408,55.47,305.09,380.87,56.9814020924906,23.61,53.309999999999995,94.4436305555556,26.36,76.52,276.55,26.4,26.27,1
110012,0.8193688,243.3,193.68,35.51,73.6,67.9317359462446,27.6,42.809999999999995,156.31,26.58,11.9027669077499,27.470000000000002,91.5357252668216,60.669838126500004,139359.0,52.93093545824781,3.38176006320432,89.75,11.8860518987571,53.64999999999999,25.529999999999998,64.85125,16.5783254711771,75.9645817593179,209.84,80.5008523342153,4.1823168426725,50.7900988239957,26.0,30582.883953673598,1100122.0,2.5800554343339,65.6654740789838,274.55,23.93,86.41931023732698,0.291326502257728,89.1961779513947,77.5699714980025,47.894999999999996,311.46,391.55000000000007,21.3582349451604,23.87,58.03,94.5897527777778,26.490000000000002,92.76,286.97,26.52,26.44,1
110013,0.50430226,253.78,136.83,53.53,70.32,61.7306517728416,27.800000000000004,53.95,163.61,26.87,1.73695193705225,27.64,51.354575062048,51.71251732728341,34063.0,34.3521576620126,1.09160268239232,74.1,18.3514432589284,1.34,25.93,34.19875,1.7768094988281702,73.1703137632679,242.69,44.4118039858077,105.83905949783401,30.0101344071277,26.29,26328.2545870886,1100130.0,2.6058233423048702,51.3296412728664,319.68,24.470000000000002,92.2609656892873,0.302957652303121,79.2042304411999,96.1456544536006,60.96875,329.04,372.65,44.1788253869799,24.39,51.3,68.0426857142857,26.67,49.730000000000004,286.38,26.66,26.61,1
110014,0.48269066,230.12,249.3,34.56,70.75,63.69633552945821,27.17,38.29,150.75,26.02,0.0,27.14,43.631110585432694,55.6398970013278,16504.0,27.888362165539,5.6675705956156,73.34,19.882601742013,4.31,24.93,32.5075,3.05254477804531,72.543299299395,187.11,53.346414748674,7.65354933350341,31.408012835962204,25.57,33491.2601914687,1100148.0,2.35917188252287,56.5150785186246,255.59,23.23,98.2375478927203,0.287028571428571,93.4302045221867,97.1770691605541,38.8725,291.08,385.11,69.4746159013081,23.21,54.29,95.7165694444445,26.220000000000002,54.72,278.38,26.300000000000004,26.17,1
110015,0.70860904,234.57999999999998,220.01000000000002,36.27,73.72,69.4342316068271,27.4,41.41,147.72,26.34,13.4515925976922,27.29,84.0999519487381,58.72950376544419,38681.0,56.6851321685249,2.38698646654882,89.86999999999999,8.08079226995643,3.2800000000000002,25.32,66.355,7.39683853473648,75.4964587944741,204.88,62.1069088611816,1.99748887113343,52.8036868075806,25.82,25673.194498591,1100155.0,2.55149942011377,59.5299761500654,265.56,23.699999999999996,81.6491387291722,0.292265368567455,86.3460178066283,96.20421424603,38.55875,304.99,387.92,45.9276249643087,23.68,52.89,95.6463861111111,26.33,79.36,274.21,26.38,26.259999999999998,1
110018,0.8343736,251.73,286.28,37.75,73.15,73.0022416825297,27.32,40.79,181.69,26.25,115.554984201534,27.18,86.59632319451569,58.1949483341488,39053.0,75.0733990240832,3.6982559412049403,89.72,17.5999557563788,13.92,25.12,84.4275,2.9993226670919,69.7643024484444,181.0,66.9330378305032,66.1364349040737,63.1480676758351,25.6,42365.6663201291,1100189.0,2.29994197394103,58.8242319517179,282.11,23.300000000000004,92.3777627680836,0.286020741922617,98.2706623214097,94.5524059868853,44.332499999999996,292.44,373.15,39.5825598977675,23.27,53.04,94.38427499999999,26.08,87.51,325.87,26.21,26.11,1
110020,0.68927205,223.32,120.26,130.04,74.14,60.589130112998,27.13,53.08,136.61,26.0,21.737720865800295,27.19,82.168784179307,57.2472968561054,514873.0,37.3817639245188,4.77112315573944,90.58,16.8993026236336,28.52,25.13,33.565,44.0048180316678,71.7453345051041,233.68,73.0792853710773,68.8698054444285,34.6595343346691,25.86,39244.5447918224,1100205.0,2.7420909411131698,59.0487558834872,321.90999999999997,23.86,76.3726970942701,0.363253833806288,86.6712521160014,83.949693466295,76.88625,317.39,344.33,36.7372333162505,23.86,62.79,95.9392138888889,26.61,92.08,249.98999999999998,26.54,26.38,1
110025,0.6161854,225.03,210.79,26.79,72.51,70.1113254979503,27.44,36.12,144.73,26.34,6.947603016134151,27.37,69.8557238376438,57.782672537084196,20518.0,46.7258431309967,0.177440689358782,79.25,10.3595116826777,6.0600000000000005,25.240000000000002,56.49625,30.1484917423241,73.1479688111644,191.84999999999997,56.6743739469121,5.69151963574274,49.4280122062415,25.83,27491.8572472951,1100254.0,2.16376750106067,59.4196600582777,248.34,23.58,81.2183905131823,0.284304483837331,94.1768256859832,87.1900117362367,40.78,294.18,390.04,58.1807042008263,23.52,49.08,95.1452916666667,26.44,62.14,268.83,26.490000000000002,26.39,1
110026,0.45159763,237.61,153.27,63.980000000000004,73.77,59.9834153811214,27.509999999999998,47.18,145.61,26.48,0.0,27.44,37.5401369852443,53.2023276708208,3753.0,6.38729938930183,1.43671211992349,59.10000000000001,17.3511904761905,3.12,25.52,16.2425,50.65191714570109,80.4349754773442,227.89,34.9012230159165,37.4531835205993,27.126220139775903,26.04,49500.7564614975,1100262.0,1.69204737732657,52.60395664067231,311.54,24.07,97.5918367346939,0.304836676217765,87.9565408136553,86.2414207075615,34.39125,319.54,364.82,57.2659333325393,24.02,53.71,47.200747826087,26.58,42.42,264.36,26.57,26.470000000000002,1
110028,0.7348318,233.31,242.23,31.27,73.46,72.5073053357938,27.29,38.84,156.26,26.15,10.094538612041102,27.23,89.010891236813,60.29905463249229,62559.0,64.2604475679084,2.03412055462506,79.22,12.2328702564447,13.78,25.02,77.18,26.956947358977295,73.4963988818858,182.41,64.0433212592884,1.77286104315144,62.3005339114848,25.65,25202.1278505091,1100288.0,2.32071648035563,62.45073600505561,258.86,23.29,82.3964629425349,0.267952235772358,91.5374359642931,96.4397245856172,36.47,288.14,381.78,59.2582705539194,23.25,49.43,93.1642138888889,26.29,85.88000000000001,288.19,26.37,26.259999999999998,1
