municipio,prob_mean,cases_sum
355030,0.98904604,902591
310620,0.98116934,602687
330455,0.9792502,450822
530010,0.9790986,561523
350590,0.967584,16418
520870,0.9606031,466169
354850,0.9597687,40220
355670,0.9588409,11705
420540,0.9552905,73198
354980,0.9546792,252329
