state,cod6,cluster,prob,rank,risk_cat,variable,correlation
MG,314110,0,0.8161617,57,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311820,0,0.81510556,58,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311180,0,0.81478417,59,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,312090,0,0.81365913,60,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311340,0,0.81283104,61,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,313720,0,0.8123256,62,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,316960,0,0.8107404,63,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311260,0,0.8098503,64,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,314390,0,0.8074408,65,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,313190,0,0.8057807,66,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,315070,0,0.80577195,67,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311420,0,0.8047289,68,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,311830,0,0.80462515,69,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,312700,0,0.80370516,70,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,315460,0,0.8035161,71,Very High,Abastecimento de Água via Rede de Distribuição,0.6036029374347878
MG,310620,0,0.98116934,1,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317020,0,0.93380994,2,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,312770,0,0.9143689,3,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313670,0,0.91193634,4,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317010,0,0.9101604,5,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,312230,0,0.90960723,6,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,310350,0,0.9059993,7,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313760,0,0.9010063,8,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313380,0,0.89866155,9,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316720,0,0.89765537,10,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314710,0,0.8921417,11,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314330,0,0.89100826,12,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313130,0,0.8904842,13,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314700,0,0.88898265,14,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,310160,0,0.88863754,15,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,311860,0,0.88629586,16,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,312710,0,0.8835564,17,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313420,0,0.8825298,18,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313440,0,0.87718666,19,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313170,0,0.8724037,20,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,310400,0,0.86745393,21,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315780,0,0.86715984,22,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314520,0,0.8669642,23,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315895,0,0.8660852,24,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317200,0,0.86559427,25,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315180,0,0.86442506,26,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,310670,0,0.86181104,27,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316470,0,0.8595332,28,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314930,0,0.8562881,29,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314790,0,0.8558422,30,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317040,0,0.85548127,31,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316990,0,0.8540284,32,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317070,0,0.85312873,33,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,311787,0,0.8470938,34,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313665,0,0.8470684,35,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,311530,0,0.84667075,36,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,317120,0,0.8466028,37,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316935,0,0.8459724,38,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315250,0,0.8405251,39,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316870,0,0.83970004,40,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313010,0,0.8379084,41,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316210,0,0.8378613,42,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,310110,0,0.83709824,43,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,316190,0,0.8363837,44,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314430,0,0.83249974,45,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315160,0,0.8309525,46,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,315980,0,0.8302116,47,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,313620,0,0.8294221,48,Very High,Densidade de Telefonia Móvel,0.5417727825277948
MG,314310,0,0.8288613,49,Very High,Densidade de Telefonia Móvel,0.5417727825277948
