fold,auc,accuracy
1,0.7640554330669981,0.6909828536436007
2,0.7725985412059674,0.6984843845682792
3,0.7632960644267104,0.6879210042865891
4,0.7733915023764846,0.6956288754497435
5,0.7615903257749583,0.6837633009262803
